variant,input,threads,score,time_sec,run
data_paral,mapb10_10a.txt,12,580,5.96424,1
data_paral,mapb10_10a.txt,12,580,6.00411,2
data_paral,mapb10_10a.txt,12,580,5.98043,3
data_paral,mapb10_10a.txt,16,580,5.45729,1
data_paral,mapb10_10a.txt,16,580,5.42952,2
data_paral,mapb10_10a.txt,16,580,5.46511,3
data_paral,mapb10_10a.txt,32,580,5.2484,1
data_paral,mapb10_10a.txt,32,580,5.16076,2
data_paral,mapb10_10a.txt,32,580,5.20635,3
data_paral,mapb10_10a.txt,48,580,4.98125,1
data_paral,mapb10_10a.txt,48,580,5.36074,2
data_paral,mapb10_10a.txt,48,580,4.93156,3
data_paral,mapb8_8a.txt,1,490,0.00379172,1
data_paral,mapb8_8a.txt,1,490,0.00390482,2
data_paral,mapb8_8a.txt,1,490,0.00376225,3
data_paral,mapb8_8a.txt,2,490,0.00449006,1
data_paral,mapb8_8a.txt,2,490,0.00447595,2
data_paral,mapb8_8a.txt,2,490,0.00448475,3
data_paral,mapb8_8a.txt,4,490,0.00373362,1
data_paral,mapb8_8a.txt,4,490,0.00357401,2
data_paral,mapb8_8a.txt,4,490,0.00382403,3
data_paral,mapb8_8a.txt,12,490,0.00491475,1
data_paral,mapb8_8a.txt,12,490,0.00480852,2
data_paral,mapb8_8a.txt,12,490,0.00489605,3
data_paral,mapb8_8a.txt,16,490,0.00519059,1
data_paral,mapb8_8a.txt,16,490,0.00572211,2
data_paral,mapb8_8a.txt,16,490,0.0055036,3
data_paral,mapb8_8a.txt,32,490,0.00644769,1
data_paral,mapb8_8a.txt,32,490,0.00652844,2
data_paral,mapb8_8a.txt,32,490,0.00648861,3
data_paral,mapb8_8a.txt,48,490,0.00746017,1
data_paral,mapb8_8a.txt,48,490,0.0391843,2
data_paral,mapb8_8a.txt,48,490,0.00716088,3
data_paral,mapb8_8b.txt,1,490,0.000534042,1
data_paral,mapb8_8b.txt,1,490,0.000498042,2
data_paral,mapb8_8b.txt,1,490,0.000499493,3
data_paral,mapb8_8b.txt,2,490,0.000733194,1
data_paral,mapb8_8b.txt,2,490,0.000814884,2
data_paral,mapb8_8b.txt,2,490,0.000832354,3
data_paral,mapb8_8b.txt,4,490,0.000971375,1
